Category,City,Fax,Tel,Description,CompanyName,URL,Country,Zipcode,State,Contact,Products,Address,YearEstablished,Email,Geolocation
 Vacation Home Rental,Sterling,,907-262-3830 / +1-907-262-3830,,Catch'em Riverfront Lodge Catch'em Riverfront Lodge,http://www.usbizs.com/AK/Sterling/Catch_em_Riverfront_Lodge_2Pp.html,United States,99672,Alaska,," Bed & Breakfast Accommodations - 701107, Vacation Rentals - 653141",37580 Elva Street,,,"40,-98"
 Welding Contractors,Sterling,907.262-5901 / +1-907.262-5901,907-262-7149 / +1-907-262-7149,,D & D Equipment Services D & D Equipment Services,http://www.usbizs.com/AK/Sterling/D_D_Equipment_Services_2Tf.html,United States,99672,Alaska," Don, Johnson - Owner", Welding,Mile 1 5 Swanson River Road,,,"40,-98"
" Self Service Laundries, Tanning Salons",Sterling,,907-262-7666 / +1-907-262-7666,,The Wash Out The Wash Out,http://www.usbizs.com/AK/Sterling/The_Wash_Out_2fA.html,United States,99672,Alaska,," Laundries-Self Service - 721501, Tanning Salons",River Road,,,"40,-98"
 Tires Wholesale and Manufacturers,Sterling,,907-262-2733 / +1-907-262-2733,,Rick's Tire Repair Rick's Tire Repair,http://www.usbizs.com/AK/Sterling/Rick_s_Tire_Repair_2E4.html,United States,99672,Alaska,," Automobile Air Conditioning Equipment - 553106, Tire-Dealers-Retail - 553123",,,,"40,-98"
 ANCSA Native Corporations,Alakanuk,907.238-3120 / +1-907.238-3120,907-238-3117 / +1-907-238-3117,,Alukanuk Native Office Alukanuk Native Office,http://www.usbizs.com/AK/Alakanuk/Alukanuk_Native_Office_784.html,United States,99554,Alaska," Patrick, Phillip - Manager", Ancsa Native Corporations - 861105,U Anderson Street,,,"40,-98"
 Senior Citizens' Products and Services,Sterling,,907-262-6808 / +1-907-262-6808,,Sterling Senior Citizens' Cente Sterling Senior Citizens' Cente,http://www.usbizs.com/AK/Sterling/Sterling_Senior_Citizens_Cente_2gA.html,United States,99672,Alaska,," Aids Information & Testing - 809933, Senior Citizens Service Organizations - 836101",Sterling Highway,,,"40,-98"
 Schools,Unalaska,907.581-3152 / +1-907.581-3152,907-581-3151 / +1-907-581-3151,,Unalaska City School Dist Off Unalaska City School Dist Off,http://www.usbizs.com/AK/Unalaska/Unalaska_City_School_Dist_Off_2dz.html,United States,99685,Alaska," Darrell, Sandborn - Administrator", Schools,5th Broadway,,,"40,-98"
 Radio Broadcasting Companies and Stations,Unalaska,,907-581-1888 / +1-907-581-1888,,Unalaska Community Television Unalaska Community Television,http://www.usbizs.com/AK/Unalaska/Unalaska_Community_Television_1k6.html,United States,99685,Alaska,," Advertising-Radio - 731303, Radio Stations & Broadcasting Companies - 483201",,,,"40,-98"
 Schools,Unalaska,907.581-2428 / +1-907.581-2428,907-581-1222 / +1-907-581-1222,,Unalaska City School District Unalaska City School District,http://www.usbizs.com/AK/Unalaska/Unalaska_City_School_District_2dA.html,United States,99685,Alaska," Darrell, Sanborn - Administrator", Schools,55 E Broadway,,,"40,-98"
 Paper Products Manufacturers and Wholesalers,Unalaska,907.581-2090 / +1-907.581-2090,907-581-2092 / +1-907-581-2092,,Dutch Harbor Fisherman Dutch Harbor Fisherman,http://www.usbizs.com/AK/Unalaska/Dutch_Harbor_Fisherman_YL.html,United States,99685,Alaska,," Paper & Plastic Cups Containers Etc-Mfrs - 265601, Paper Products (Wholesale) - 511101",,,,"40,-98"
 Optical Goods Retail,Unalaska,,907-581-1599 / +1-907-581-1599,,Sally's Eyeland Sally's Eyeland,http://www.usbizs.com/AK/Unalaska/Sally_s_Eyeland_UC.html,United States,99685,Alaska,," Building Materials - 521126, Optical Goods-Retail - 599502",5th & Broadway,,,"40,-98"
 Oil and Gas Producers,Unalaska,907.581-1431 / +1-907.581-1431,907-581-1431 / +1-907-581-1431,,North Pacific Fuel North Pacific Fuel,http://www.usbizs.com/AK/Unalaska/North_Pacific_Fuel_SX.html,United States,99685,Alaska,," Oil & Gas Exploration & Development - 138203, Oil & Gas Producers - 131101",,,,"40,-98"
 Oil and Gas Producers,Unalaska,,907-581-3511 / +1-907-581-3511,,Latitude 54 Warehouse Latitude 54 Warehouse,http://www.usbizs.com/AK/Unalaska/Latitude_54_Warehouse_SW.html,United States,99685,Alaska,," Oil & Gas Exploration & Development - 138203, Oil & Gas Producers - 131101",,,,"40,-98"
" Oil and Gas Companies, Oil and Gas Producers",Unalaska,,907-581-1265 / +1-907-581-1265,,North Pacific Fuel - Captain's Bay North Pacific Fuel - Captain's Bay,http://www.usbizs.com/AK/Unalaska/North_Pacific_Fuel_Captain_s_Bay_SD.html,United States,99685,Alaska,," Oil & Gas Producers - 131101, Pipe Line Companies - 461201",,,,"40,-98"
 Office Building and Industrial Cleaning Services,Unalaska,,907-581-2207 / +1-907-581-2207,,Art's Janitorial Art's Janitorial,http://www.usbizs.com/AK/Unalaska/Art_s_Janitorial_PC.html,United States,99685,Alaska," Arthur, Brown - Owner", Janitor Service - 734902,79 Aerial Drive,,,"40,-98"
 Marine Cargo and Freight,Unalaska,,907-581-7962 / +1-907-581-7962,,"Horizon Lines of Alaska - Main Office, Maintenance Horizon Lines of Alaska - Main Office, Maintenance",http://www.usbizs.com/AK/Unalaska/Horizon_Lines_of_Alaska_Main_Office_Maintenance_tN.html,United States,99685,Alaska,, Surveyors-Marine - 449901,,,,"40,-98"
 Methodist Churches,Unalaska,,907-581-1280 / +1-907-581-1280,,United Methodist Church of Unalaska United Methodist Church of Unalaska,http://www.usbizs.com/AK/Unalaska/United_Methodist_Church_of_Unalaska_CS.html,United States,99685,Alaska,," Banquet Rooms - 581223, Churches - 866107",,,,"40,-98"
" Mental Health Practitioners, Public Health and Safety",Unalaska,,907-581-2742 / +1-907-581-2742,,Aleutian Counseling Center Aleutian Counseling Center,http://www.usbizs.com/AK/Unalaska/Aleutian_Counseling_Center_B7.html,United States,99685,Alaska,, Mental Health Services - 806301,,,,"40,-98"
" Marine Equipment and Supplies Retail, Water Transportation",Unalaska,,907-581-1700 / +1-907-581-1700,,Alaska Ship Supply - Captains Bay Alaska Ship Supply - Captains Bay,http://www.usbizs.com/AK/Unalaska/Alaska_Ship_Supply_Captains_Bay_uG.html,United States,99685,Alaska,," Banks - 602101, Marine Equipment & Supplies - 555113",,,,"40,-98"
 Marine Cargo and Freight,Unalaska,,907-581-7950 / +1-907-581-7950,,"Horizon Lines of Alaska - Main Office, LTL Warehouse Horizon Lines of Alaska - Main Office, LTL Warehouse",http://www.usbizs.com/AK/Unalaska/Horizon_Lines_of_Alaska_Main_Office_LTL_Warehouse_tM.html,United States,99685,Alaska,, Surveyors-Marine - 449901,,,,"40,-98"
 Marine Cargo and Freight,Unalaska,,907-581-7940 / +1-907-581-7940,,"Horizon Lines of Alaska - Main Office, Gatehouse Horizon Lines of Alaska - Main Office, Gatehouse",http://www.usbizs.com/AK/Unalaska/Horizon_Lines_of_Alaska_Main_Office_Gatehouse_tL.html,United States,99685,Alaska,, Surveyors-Marine - 449901,,,,"40,-98"
 MANUFACTURERS: DISTRIBUTOR,Unalaska,,(907) 581-2733 / +1-(907) 581-2733, Towing Service,Dunlap Towing Co. Dunlap Towing Co.,http://www.usbizs.com/AK/Unalaska/Dunlap_Towing_Co_jN.html,United States,99603,Alaska,, Towing Services,,,,"40,-98"
 Management Consultants,Unalaska,,907-581-1276 / +1-907-581-1276,,Ounalashka Ounalashka,http://www.usbizs.com/AK/Unalaska/Ounalashka_aS.html,United States,99685,Alaska,," Accountants, Business Management Consultants - 874201",,,,"40,-98"
 Management Consultants,Unalaska,,907-581-1477 / +1-907-581-1477,,Ounalashka - Maintenance Shop Ounalashka - Maintenance Shop,http://www.usbizs.com/AK/Unalaska/Ounalashka_Maintenance_Shop_aR.html,United States,99685,Alaska,," Accountants, Business Management Consultants - 874201",,,,"40,-98"
 Liquor Stores,Unalaska,,907-581-1234 / +1-907-581-1234,,Western Union - Carl's Western Union - Carl's,http://www.usbizs.com/AK/Unalaska/Western_Union_Carl_s_4O.html,United States,99685,Alaska,, Liquor Brokers - 622101,100 Bayview,,,"40,-98"
 Life Preservers Rafts and Floats,Unalaska,,907-581-2677 / +1-907-581-2677,,Ocean Safety Services Ocean Safety Services,http://www.usbizs.com/AK/Unalaska/Ocean_Safety_Services_2p.html,United States,99685,Alaska,, Booming & Rafting - 444905,,,,"40,-98"
" Agricultural Producers and Products, Federal Government Offices, Hay Alfalfa and Alfalfa Products",Alakanuk,907.238-3429 / +1-907.238-3429,907-238-3419 / +1-907-238-3419,,Alakanuk Traditional Council Alakanuk Traditional Council,http://www.usbizs.com/AK/Alakanuk/Alakanuk_Traditional_Council_6rP.html,United States,99554,Alaska," Denis, Shelden - President", Government Offices-Indian - 919906,PO Box 149,,,"40,-98"
 Federal Government Offices,Alakanuk,907.238-3712 / +1-907.238-3712,907-238-3717 / +1-907-238-3717,,US Post Offices - Alakanuk Post Office US Post Offices - Alakanuk Post Office,http://www.usbizs.com/AK/Alakanuk/US_Post_Offices_Alakanuk_Post_Office_4zr.html,United States,99554,Alaska,," Campgrounds - 703301, Federal Government-Conservation Depts - 951201",,,,"40,-98"
 General Stores,Alakanuk,907.238-3625 / +1-907.238-3625,907-238-3310 / +1-907-238-3310,,D F Jorgenson D F Jorgenson,http://www.usbizs.com/AK/Alakanuk/D_F_Jorgenson_59r.html,United States,99554,Alaska,," Ancsa Native Corporations - 861105, General Merchandise-Retail - 539901",,,,"40,-98"
 General Stores,Alakanuk,907.238-3773 / +1-907.238-3773,907-238-3318 / +1-907-238-3318,,Alakanuk Native Store - Annex Store Alakanuk Native Store - Annex Store,http://www.usbizs.com/AK/Alakanuk/Alakanuk_Native_Store_Annex_Store_597.html,United States,99554,Alaska,," Ancsa Native Corporations - 861105, General Merchandise-Retail - 539901",,,,"40,-98"
" Fuels Retail, General Stores, Grocery Stores and Supermarkets, Hardware Dealers",Alakanuk,907.238-3773 / +1-907.238-3773,907-238-3810 / +1-907-238-3810,,Alakanuk Native Store Alakanuk Native Store,http://www.usbizs.com/AK/Alakanuk/Alakanuk_Native_Store_51l.html,United States,99554,Alaska," Natalia, Ayunerak - Manager"," Grocers-Retail - 541105, Hardware-Retail - 525104",PO Box 89,,,"40,-98"
" Elementary Schools, Preschools and Kindergartens",Alakanuk,907.238-3025 / +1-907.238-3025,907-238-3917 / +1-907-238-3917,,Alakanuk Headstart Program Alakanuk Headstart Program,http://www.usbizs.com/AK/Alakanuk/Alakanuk_Headstart_Program_4eM.html,United States,99554,Alaska,," Apartments - 651303, Schools-Nursery & Kindergarten Academic - 835102",,,,"40,-98"
" Educational Administration, Elementary Schools",Alakanuk,907.238-3417 / +1-907.238-3417,907-238-3312 / +1-907-238-3312,,Alakanuk - Alakanuk High School Alakanuk - Alakanuk High School,http://www.usbizs.com/AK/Alakanuk/Alakanuk_Alakanuk_High_School_43b.html,United States,99554,Alaska,," Educational Administration, Elementary Schools",,,,"40,-98"
" Clothing Stores, Clothing and Accessories Consignment and Resale, General Stores, Resale Second Hand and Used Merchandise Stores, Used Clothing Retail",Alakanuk,907.238-3625 / +1-907.238-3625,907-238-3310 / +1-907-238-3310,,D F Jorgensen D F Jorgensen,http://www.usbizs.com/AK/Alakanuk/D_F_Jorgensen_3CB.html,United States,99554,Alaska," Steve, Duncan - Manager", General Merchandise-Retail - 539901,1 Jorgensen Plaza,,,"40,-98"
" Cleaning Services, Clothing and Accessories Cleaning and Repair",Alakanuk,,907-238-3655 / +1-907-238-3655,,Alakanuk City - Alakanuk Safe Water Facility Sauna-Laundromat Alakanuk City - Alakanuk Safe Water Facility Sauna-Laundromat,http://www.usbizs.com/AK/Alakanuk/Alakanuk_City_Alakanuk_Safe_Water_Facility_Sauna_Laundromat_3sF.html,United States,99554,Alaska,," Alterations-Clothing - 569932, Cleaners",,,,"40,-98"
" Electric Cooperatives, Energy and Environment",Alakanuk,,907-238-1818 / +1-907-238-1818,,Alaska Village Electric Cooperative Alaska Village Electric Cooperative,http://www.usbizs.com/AK/Alakanuk/Alaska_Village_Electric_Cooperative_4a7.html,United States,99554,Alaska,," Electric Cooperatives, Energy & Environment",,,,"40,-98"
" Educational Administration, Elementary Schools, Elementary and Secondary Education",Alakanuk,,907-238-3426 / +1-907-238-3426,,Lysd Alakanuk High School Alternative Lysd Alakanuk High School Alternative,http://www.usbizs.com/AK/Alakanuk/Lysd_Alakanuk_High_School_Alternative_43N.html,United States,99554,Alaska,, Educational Programs,,,,"40,-98"
 Clinics,Alakanuk,907.238-3706^^907.238-3720 / +1-907.238-3706^^907.238-3720,907-238-3210^^907-238-3529^^907-238-3720 / +1-907-238-3210^^907-238-3529^^907-238-3720,,Alakanuk Health Clinic Alakanuk Health Clinic,http://www.usbizs.com/AK/Alakanuk/Alakanuk_Health_Clinic_3tG.html,United States,99554,Alaska,," Abortion Alternatives Organizations - 839903, Clinics - 801104",,,,"40,-98"
" Charitable and Nonprofit Organizations, Fishery Consultants",Alakanuk,907.949-1203 / +1-907.949-1203,907-238-3692 / +1-907-238-3692,,Yukon Delta Fisheries Yukon Delta Fisheries,http://www.usbizs.com/AK/Alakanuk/Yukon_Delta_Fisheries_3cq.html,United States,99554,Alaska," Ragnar, Alstrom - President", Fishery Consultants,PO Box 181,,,"40,-98"
 Catholic Churches,Alakanuk,,907-238-3914 / +1-907-238-3914,,Saint Ignatius Catholic Church Saint Ignatius Catholic Church,http://www.usbizs.com/AK/Alakanuk/Saint_Ignatius_Catholic_Church_38I.html,United States,99554,Alaska,," Associations - 861102, Churches - 866107",,,,"40,-98"
" Water Filtration and Purification Equipment Retail, Water Utility Companies",Alakanuk,907.238-3510 / +1-907.238-3510,907-238-3511 / +1-907-238-3511,,YKHC Safe Water Facility YKHC Safe Water Facility,http://www.usbizs.com/AK/Alakanuk/YKHC_Safe_Water_Facility_2SE.html,United States,99554,Alaska,," Water Purification/Filtration Eqpt-Mfrs - 358913, Water Supply Systems - 494103",,,,"40,-98"
 Senior Citizens' Products and Services,Alakanuk,,907-238-3227 / +1-907-238-3227,,Alakanuk City - Elder Youth Program Alakanuk City - Elder Youth Program,http://www.usbizs.com/AK/Alakanuk/Alakanuk_City_Elder_Youth_Program_2fF.html,United States,99554,Alaska,," Aids Information & Testing - 809933, Senior Citizens Service Organizations - 836101",,,,"40,-98"
" Mental Health, Public Health and Safety",Alakanuk,,907-238-3110 / +1-907-238-3110,,YKHC Mental Health YKHC Mental Health,http://www.usbizs.com/AK/Alakanuk/YKHC_Mental_Health_BX.html,United States,99554,Alaska,, Mental Health Services - 806301,,,,"40,-98"
 Schools,Alakanuk,907.238-3417 / +1-907.238-3417,907-238-3312 / +1-907-238-3312,,Alakanuk High School Alakanuk High School,http://www.usbizs.com/AK/Alakanuk/Alakanuk_High_School_27Q.html,United States,99554,Alaska," Nancy, Mazurek - Principal", Schools,1 Anderson Street,,,"40,-98"
" Occupational Therapy and Rehabilitation, Rehabilitation Services",Alakanuk,,907-238-3062 / +1-907-238-3062,,AVCP Workforce Development Coordinator AVCP Workforce Development Coordinator,http://www.usbizs.com/AK/Alakanuk/AVCP_Workforce_Development_Coordinator_Ph.html,United States,99554,Alaska,, Occupational Therapists - 804911,,,,"40,-98"
 Real Estate Appraisers,Glennallen,,907-822-3766 / +1-907-822-3766,,Glennallen Appraisal Glennallen Appraisal,http://www.usbizs.com/AK/Glennallen/Glennallen_Appraisal_1pS.html,United States,99588,Alaska," Lee, Adler - Owner", Real Estate Appraisers - 653116,Po Box 285,,,"40,-98"
 Radio Broadcasting Companies and Stations,Glennallen,907.822-3761 / +1-907.822-3761,907-822-3434 / +1-907-822-3434,,KCAM KCAM,http://www.usbizs.com/AK/Glennallen/KCAM_1iZ.html,United States,99588,Alaska,," Advertising-Radio - 731303, Radio Stations & Broadcasting Companies - 483201",Po Box 249,,,"40,-98"
 Raft Trips and Tours,Glennallen,,907-822-5110 / +1-907-822-5110,,Rather Rough-It Adventures Rather Rough-It Adventures,http://www.usbizs.com/AK/Glennallen/Rather_Rough_It_Adventures_1kB.html,United States,99588,Alaska,," Float Trips - 472508, Raft Trips - 799986",Mi 5 1 Edgerton Highway,,,"40,-98"
 Radio Broadcasting Companies and Stations,Glennallen,,907-822-3306 / +1-907-822-3306,,KCAM - Caribou Clatters KCAM - Caribou Clatters,http://www.usbizs.com/AK/Glennallen/KCAM_Caribou_Clatters_1iY.html,United States,99588,Alaska,," Advertising-Radio - 731303, Radio Stations & Broadcasting Companies - 483201",Po Box 249,,,"40,-98"
" Political Campaign Services, State Government Offices",Glennallen,907.822-5591 / +1-907.822-5591,907-822-5588 / +1-907-822-5588,,Alaska State - Legislative Information Office Alaska State - Legislative Information Office,http://www.usbizs.com/AK/Glennallen/Alaska_State_Legislative_Information_Office_1ae.html,United States,99588,Alaska,," Political Campaign Services, State Government Offices",Po Box 68,,,"40,-98"
" Private Schools, Religious Education Schools",Glennallen,907.822-5027 / +1-907.822-5027,907-822-3201 / +1-907-822-3201,,Alaska Bible College Alaska Bible College,http://www.usbizs.com/AK/Glennallen/Alaska_Bible_College_1dX.html,United States,99588,Alaska," Steve, Hostetter - President"," Religious Schools - 821101, Schools-Universities & Colleges Academic - 822101",Mile 187 Glenn Highway,,,"40,-98"
 Radio Broadcasting Companies and Stations,Glennallen,907.822-3761 / +1-907.822-3761,907-822-5226 / +1-907-822-5226,,KCAM - Business Office KCAM - Business Office,http://www.usbizs.com/AK/Glennallen/KCAM_Business_Office_1iX.html,United States,99588,Alaska,," Advertising-Radio - 731303, Radio Stations & Broadcasting Companies - 483201",Po Box 249,,,"40,-98"
" Paper Products Manufacturers and Wholesalers, Travelogues",Glennallen,907.822-3833 / +1-907.822-3833,907-822-5233 / +1-907-822-5233,,Bearfoot Travel Guides Bearfoot Travel Guides,http://www.usbizs.com/AK/Glennallen/Bearfoot_Travel_Guides_Zb.html,United States,99588,Alaska,," Paper Products Manufacturers & Wholesalers, Travelogues",,,,"40,-98"
 Phone Communications Services,Glennallen,,907-822-5221 / +1-907-822-5221,,Temperature & Time Temperature & Time,http://www.usbizs.com/AK/Glennallen/Temperature_Time_13L.html,United States,99588,Alaska,, Communications Consultants - 874823,,,,"40,-98"
 Plumbing Contractors,Glennallen,,907-822-5500 / +1-907-822-5500,,AAA Plumbing & Heating Maintenance Services AAA Plumbing & Heating Maintenance Services,http://www.usbizs.com/AK/Glennallen/AAA_Plumbing_Heating_Maintenance_Services_18l.html,United States,99588,Alaska,," Air Conditioning Contractors & Systems - 171117, Plumbing Contractors - 171105",Mi 110 Richardson Hw,,,"40,-98"
" Paper Products Manufacturers and Wholesalers, Tourist Information and Attractions, Travel Clubs and Services",Glennallen,,907-822-5233 / +1-907-822-5233,,North Country Printing North Country Printing,http://www.usbizs.com/AK/Glennallen/North_Country_Printing_Za.html,United States,99588,Alaska,," Paper Products Manufacturers & Wholesalers, Tourist Information & Attractions, Travel Clubs & Services",Po Box 336,,,"40,-98"
 Office Building and Industrial Cleaning Services,Glennallen,,907-822-3622 / +1-907-822-3622,,Mr Clean-Up Janitorial Mr Clean-Up Janitorial,http://www.usbizs.com/AK/Glennallen/Mr_Clean_Up_Janitorial_Qi.html,United States,99588,Alaska,," Building Cleaning-Exterior - 734909, Gutters & Downspouts - 176103",Po Box 49,,,"40,-98"
 Mission Churches,Glennallen,,907-822-3477 / +1-907-822-3477,,Send International of Alaska - Maintenance Department Send International of Alaska - Maintenance Department,http://www.usbizs.com/AK/Glennallen/Send_International_of_Alaska_Maintenance_Department_Et.html,United States,99588,Alaska,," Churches - 866107, Missions - 832214",Po Box 369,,,"40,-98"
 MANUFACTURERS: DISTRIBUTOR,Glennallen,(907) 822-3313 / +1-(907) 822-3313,(907) 822-5889 / +1-(907) 822-5889, Excavating Service,Spring Creek Excavating Spring Creek Excavating,http://www.usbizs.com/AK/Glennallen/Spring_Creek_Excavating_rb.html,United States,99573,Alaska,, Excavators,P. O. Box 230,,,"40,-98"
 MANUFACTURERS: DISTRIBUTOR,Glennallen,,(907) 822-3471 / +1-(907) 822-3471, Excavating Service,"Shelton, M. Services Inc. Shelton, M. Services Inc.",http://www.usbizs.com/AK/Glennallen/Shelton_M_Services_Inc_qG.html,United States,99588,Alaska,, Excavators,P.O. Box 572,,,"40,-98"
 Mission Churches,Glennallen,,907-822-3291 / +1-907-822-3291,,Send International of Alaska Send International of Alaska,http://www.usbizs.com/AK/Glennallen/Send_International_of_Alaska_Eu.html,United States,99588,Alaska,," Churches - 866107, Missions - 832214",Po Box 369,,,"40,-98"
" Missions, Radio Stations and Broadcasting Companies",Glennallen,907.822-3290 / +1-907.822-3290,907-822-3291 / +1-907-822-3291,,SEND International-Alaska SEND International-Alaska,http://www.usbizs.com/AK/Glennallen/SEND_International_Alaska_Ex.html,United States,99588,Alaska," Phil, Baur - Executive Director"," Missions - 832214, Radio Stations & Broadcasting Companies - 483201",MI 187 Glenn Highway,,,"40,-98"
" Motorcycles and Motor Scooters-Supplies, Saws",Glennallen,907.822-5310 / +1-907.822-5310,907-822-5131 / +1-907-822-5131,,Cat Shop Cat Shop,http://www.usbizs.com/AK/Glennallen/Cat_Shop_IR.html,United States,99588,Alaska," Gary, Heidelberg - Owner"," Motorcycles & Motor Scooters-Supplies - 557103, Saws - 525101",Mile 186 8 Glenn Highway,,,"40,-98"
 Liquor Stores,Glennallen,,907-822-3968 / +1-907-822-3968,,Bush Bottle Bin Bush Bottle Bin,http://www.usbizs.com/AK/Glennallen/Bush_Bottle_Bin_3p.html,United States,99588,Alaska," Nancy, Milani-Henson - Owner", Liquors-Retail - 592102,Mile 116 5 Richardson Highway,,,"40,-98"
